text,translation,language,category,label
پھوپھی,Aunt (father's sister),urdu,family,0
ماموں,Uncle (mother's brother),urdu,family,0
ممانی,Aunt (mother's brother's wife),urdu,family,0
خالہ,Aunt (mother's sister),urdu,family,0
خالو,Uncle (mother's sister's husband),urdu,family,0
سسر,Father-in-law,urdu,family,0
ساس,Mother-in-law,urdu,family,0
داماد,Son-in-law,urdu,family,0
بہو,Daughter-in-law,urdu,family,0
شوہر,Husband,urdu,family,0
بیوی,Wife,urdu,family,0
خاندان,Family,urdu,family,0
رشتہ دار,Relative,urdu,family,0
عزیز,Dear ones/Relatives,urdu,family,0
کھانا,Food,urdu,food,0
پانی,Water,urdu,food,0
دودھ,Milk,urdu,food,0
چائے,Tea,urdu,food,0
قہوہ,Coffee,urdu,food,0
روٹی,Bread/Roti,urdu,food,0
چاول,Rice,urdu,food,0
گوشت,Meat,urdu,food,0
مرغی,Chicken,urdu,food,0
گائے کا گوشت,Beef,urdu,food,0
بکرے کا گوشت,Mutton/Goat meat,urdu,food,0
مچھلی,Fish,urdu,food,0
انڈا,Egg,urdu,food,0
سبزی,Vegetable,urdu,food,0
پھل,Fruit,urdu,food,0
سیب,Apple,urdu,food,0
کیلا,Banana,urdu,food,0
آم,Mango,urdu,food,0
انگور,Grapes,urdu,food,0
سنگترہ,Orange,urdu,food,0
تربوز,Watermelon,urdu,food,0
خربوزہ,Melon,urdu,food,0
ناشپاتی,Pear,urdu,food,0
آلو,Potato,urdu,food,0
ٹماٹر,Tomato,urdu,food,0
پیاز,Onion,urdu,food,0
لہسن,Garlic,urdu,food,0
ادرک,Ginger,urdu,food,0
مرچ,Chili/Pepper,urdu,food,0
ہری مرچ,Green chili,urdu,food,0
نمک,Salt,urdu,food,0
چینی,Sugar,urdu,food,0
شہد,Honey,urdu,food,0
مکھن,Butter,urdu,food,0
دہی,Yogurt,urdu,food,0
پنیر,Cheese/Paneer,urdu,food,0
تیل,Oil,urdu,food,0
گھی,Clarified butter,urdu,food,0
آٹا,Flour,urdu,food,0
میدہ,Refined flour,urdu,food,0
دال,Lentils,urdu,food,0
چنا,Chickpeas,urdu,food,0
ناشتہ,Breakfast,urdu,food,0
دوپہر کا کھانا,Lunch,urdu,food,0
رات کا کھانا,Dinner,urdu,food,0
نمکین,Snacks/Savory,urdu,food,0
مٹھائی,Sweets,urdu,food,0
حلوہ,Halwa,urdu,food,0
برف,Ice,urdu,food,0
آئس کریم,Ice cream,urdu,food,0
بسکٹ,Biscuit/Cookie,urdu,food,0
کیک,Cake,urdu,food,0
بریانی,Biryani,urdu,food,0
قورمہ,Qorma/Curry,urdu,food,0
کباب,Kebab,urdu,food,0
سموسہ,Samosa,urdu,food,0
پکوڑے,Pakoras/Fritters,urdu,food,0
حلیم,Haleem,urdu,food,0
نہاری,Nihari,urdu,food,0
پائے,Paya,urdu,food,0
السلام علیکم و رحمۃ اللہ,Peace be upon you and God's mercy,urdu,greeting,0
وعلیکم السلام و رحمۃ اللہ و برکاتہ,"And upon you peace, mercy and blessings of God",urdu,greeting,0
صبح بخیر جناب,Good morning sir,urdu,greeting_formal,0
شام بخیر محترمہ,Good evening madam,urdu,greeting_formal,0
رات بخیر دوستو,Good night friends,urdu,greeting_casual,0
کیا حال چال ہے؟,How are things going?,urdu,greeting_casual,0
سب ٹھیک ٹھاک؟,Everything okay?,urdu,greeting_casual,0
بہت دنوں بعد ملے,Met after many days,urdu,greeting_casual,0
آپ کی آمد سے محفل روشن ہوگئی,The gathering brightened with your arrival,urdu,greeting_poetic,0
تشریف آوری کا شکریہ,Thank you for gracing us with your presence,urdu,greeting_formal,0
یہ کتنے کا ہے؟,How much is this?,urdu,shopping,0
یہ بہت مہنگا ہے,This is very expensive,urdu,shopping,0
کچھ سستا دکھائیں,Show something cheaper,urdu,shopping,0
ٹھیک ہے، پیک کر دیں,"Okay, pack it",urdu,shopping,0
بل کتنا بنا؟,What's the total bill?,urdu,shopping,0
کریڈٹ کارڈ لیتے ہیں؟,Do you accept credit card?,urdu,shopping,0
کیش میں دوں گا,I'll pay in cash,urdu,shopping,0
رسید دیں,Give me the receipt,urdu,shopping,0
ریٹرن پالیسی کیا ہے؟,What's the return policy?,urdu,shopping,0
یہ سیل پر ہے؟,Is this on sale?,urdu,shopping,0
ٹکٹ کتنے کی ہے؟,How much is the ticket?,urdu,travel,0
اگلی بس کب آئے گی؟,When will the next bus come?,urdu,travel,0
یہ ٹرین کہاں جاتی ہے؟,Where does this train go?,urdu,travel,0
فلائٹ کتنے بجے ہے؟,What time is the flight?,urdu,travel,0
ائیرپورٹ کتنی دور ہے؟,How far is the airport?,urdu,travel,0
ٹیکسی بلوا دیں,Call a taxi,urdu,travel,0
رکشہ میں چلتے ہیں,Let's go by rickshaw,urdu,travel,0
میٹرو کہاں سے ملے گی؟,Where will I get the metro?,urdu,travel,0
مینو دکھائیں,Show me the menu,urdu,restaurant,0
آرڈر لے لیں,Take the order,urdu,restaurant,0
بہت مزیدار بنا ہے,It's cooked very deliciously,urdu,restaurant,0
تیز مرچ کم ڈالنا,Put less spice,urdu,restaurant,0
پانی کی بوتل لے آئیں,Bring a water bottle,urdu,restaurant,0
بل لے آئیں,Bring the bill,urdu,restaurant,0
میٹنگ کتنے بجے ہے؟,What time is the meeting?,urdu,office,0
رپورٹ تیار ہے؟,Is the report ready?,urdu,office,0
ڈیڈلائن کل تک ہے,The deadline is by tomorrow,urdu,office,0
چھٹی کی درخواست دی ہے,I've applied for leave,urdu,office,0
سیلری کب ملے گی؟,When will the salary come?,urdu,office,0
وائی فائی کا پاس ورڈ کیا ہے؟,What's the wifi password?,urdu,technology,0
موبائل چارج نہیں ہو رہا,Mobile is not charging,urdu,technology,0
لیپ ٹاپ ہینگ ہو گیا,Laptop has hung/frozen,urdu,technology,0
اپ ڈیٹ کرنا ہوگا,Will need to update,urdu,technology,0
ڈیٹا ختم ہو گیا,Data has finished,urdu,technology,0
کمپیوٹر وائرس آ گیا,Computer got a virus,urdu,technology,0
محترم جناب,Respected sir,urdu,formal,0
عزت مآب,Your honor,urdu,formal,0
حضور,Your presence,urdu,formal,0
ذیل میں عرض ہے,It is submitted below,urdu,formal,0
آپ کی خدمت میں,In your service,urdu,formal,0
والا صاحب,Esteemed person,urdu,formal,0
دل کی دنیا میں,In the world of heart,urdu,poetic,0
محبت کی باتیں,Talks of love,urdu,poetic,0
زندگی کا سفر,Journey of life,urdu,poetic,0
خوشیوں کا موسم,Season of happiness,urdu,poetic,0
یادوں کی بارات,Procession of memories,urdu,poetic,0
دل کی آواز,Voice of the heart,urdu,poetic,0
روح کی پیاس,Thirst of the soul,urdu,poetic,0
آنکھوں سے دور، دل سے دور,"Out of sight, out of mind",urdu,proverb,0
وقت کسی کا منتظر نہیں,Time waits for no one,urdu,proverb,0
محنت کا پھل میٹھا ہوتا ہے,Fruit of hard work is sweet,urdu,proverb,0
صبر کا پھل میٹھا ہوتا ہے,Fruit of patience is sweet,urdu,proverb,0
مجھے بخار ہے,I have fever,urdu,medical,0
سر درد ہو رہا ہے,I have headache,urdu,medical,0
پیٹ میں درد ہے,I have stomach pain,urdu,medical,0
کھانسی آ رہی ہے,I have cough,urdu,medical,0
زکام ہو گیا ہے,I have a cold,urdu,medical,0
ڈاکٹر کو دکھانا ہے,Need to see a doctor,urdu,medical,0
دوائی لینی ہے,Need to take medicine,urdu,medical,0
ٹیسٹ کروانا ہے,Need to get tests done,urdu,medical,0
ہسپتال جانا ہے,Need to go to hospital,urdu,medical,0
بلڈ پریشر چیک کریں,Check blood pressure,urdu,medical,0
شوگر لیول بڑھ گیا,Sugar level increased,urdu,medical,0
الرجی ہو گئی,Got allergy,urdu,medical,0
ٹیکہ لگوانا ہے,Need to get vaccination,urdu,medical,0
امتحان کب ہے؟,When is the exam?,urdu,education,0
کلاس میں حاضری لگی؟,Was attendance taken in class?,urdu,education,0
ہوم ورک مکمل کیا؟,Did you complete homework?,urdu,education,0
نتیجہ آ گیا,Result has come,urdu,education,0
داخلہ کب ہے؟,When is admission?,urdu,education,0
فیس جمع کروانی ہے,Need to submit fees,urdu,education,0
لائبریری سے کتاب لینی ہے,Need to get book from library,urdu,education,0
پروجیکٹ کی ڈیڈ لائن,Project deadline,urdu,education,0
اسائنمنٹ جمع کروا دی,Submitted assignment,urdu,education,0
لیکچر مس ہو گیا,Missed the lecture,urdu,education,0
ایک,1,urdu,number,0
دو,2,urdu,number,0
تین,3,urdu,number,0
چار,4,urdu,number,0
پانچ,5,urdu,number,0
چھ,6,urdu,number,0
سات,7,urdu,number,0
آٹھ,8,urdu,number,0
نو,9,urdu,number,0
دس,10,urdu,number,0
گیارہ,11,urdu,number,0
بارہ,12,urdu,number,0
تیرہ,13,urdu,number,0
چودہ,14,urdu,number,0
پندرہ,15,urdu,number,0
بیس,20,urdu,number,0
تیس,30,urdu,number,0
چالیس,40,urdu,number,0
پچاس,50,urdu,number,0
ساٹھ,60,urdu,number,0
ستر,70,urdu,number,0
اسی,80,urdu,number,0
نوے,90,urdu,number,0
سو,100,urdu,number,0
میں گھر جا رہا ہوں,I am going to گھر,urdu,travel,0
کیا آپ گھر جائیں گے؟,Will you go to گھر?,urdu,travel,0
گھر کیسے جاؤں؟,How do I go to گھر?,urdu,travel,0
میں دفتر جا رہا ہوں,I am going to دفتر,urdu,travel,0
کیا آپ دفتر جائیں گے؟,Will you go to دفتر?,urdu,travel,0
دفتر کیسے جاؤں؟,How do I go to دفتر?,urdu,travel,0
میں اسکول جا رہا ہوں,I am going to اسکول,urdu,travel,0
کیا آپ اسکول جائیں گے؟,Will you go to اسکول?,urdu,travel,0
اسکول کیسے جاؤں؟,How do I go to اسکول?,urdu,travel,0
میں بازار جا رہا ہوں,I am going to بازار,urdu,travel,0
کیا آپ بازار جائیں گے؟,Will you go to بازار?,urdu,travel,0
بازار کیسے جاؤں؟,How do I go to بازار?,urdu,travel,0
میں ہسپتال جا رہا ہوں,I am going to ہسپتال,urdu,travel,0
کیا آپ ہسپتال جائیں گے؟,Will you go to ہسپتال?,urdu,travel,0
ہسپتال کیسے جاؤں؟,How do I go to ہسپتال?,urdu,travel,0
میں مسجد جا رہا ہوں,I am going to مسجد,urdu,travel,0
کیا آپ مسجد جائیں گے؟,Will you go to مسجد?,urdu,travel,0
مسجد کیسے جاؤں؟,How do I go to مسجد?,urdu,travel,0
میں ریسٹورنٹ جا رہا ہوں,I am going to ریسٹورنٹ,urdu,travel,0
کیا آپ ریسٹورنٹ جائیں گے؟,Will you go to ریسٹورنٹ?,urdu,travel,0
ریسٹورنٹ کیسے جاؤں؟,How do I go to ریسٹورنٹ?,urdu,travel,0
میں پارک جا رہا ہوں,I am going to پارک,urdu,travel,0
کیا آپ پارک جائیں گے؟,Will you go to پارک?,urdu,travel,0
پارک کیسے جاؤں؟,How do I go to پارک?,urdu,travel,0
میں سٹیشن جا رہا ہوں,I am going to سٹیشن,urdu,travel,0
کیا آپ سٹیشن جائیں گے؟,Will you go to سٹیشن?,urdu,travel,0
سٹیشن کیسے جاؤں؟,How do I go to سٹیشن?,urdu,travel,0
میں ہوائی اڈہ جا رہا ہوں,I am going to ہوائی اڈہ,urdu,travel,0
کیا آپ ہوائی اڈہ جائیں گے؟,Will you go to ہوائی اڈہ?,urdu,travel,0
ہوائی اڈہ کیسے جاؤں؟,How do I go to ہوائی اڈہ?,urdu,travel,0
میں شاپنگ مال جا رہا ہوں,I am going to شاپنگ مال,urdu,travel,0
کیا آپ شاپنگ مال جائیں گے؟,Will you go to شاپنگ مال?,urdu,travel,0
شاپنگ مال کیسے جاؤں؟,How do I go to شاپنگ مال?,urdu,travel,0
میں کالج جا رہا ہوں,I am going to کالج,urdu,travel,0
کیا آپ کالج جائیں گے؟,Will you go to کالج?,urdu,travel,0
کالج کیسے جاؤں؟,How do I go to کالج?,urdu,travel,0
میں یونیورسٹی جا رہا ہوں,I am going to یونیورسٹی,urdu,travel,0
کیا آپ یونیورسٹی جائیں گے؟,Will you go to یونیورسٹی?,urdu,travel,0
یونیورسٹی کیسے جاؤں؟,How do I go to یونیورسٹی?,urdu,travel,0
میں لائبریری جا رہا ہوں,I am going to لائبریری,urdu,travel,0
کیا آپ لائبریری جائیں گے؟,Will you go to لائبریری?,urdu,travel,0
لائبریری کیسے جاؤں؟,How do I go to لائبریری?,urdu,travel,0
میں بینک جا رہا ہوں,I am going to بینک,urdu,travel,0
کیا آپ بینک جائیں گے؟,Will you go to بینک?,urdu,travel,0
بینک کیسے جاؤں؟,How do I go to بینک?,urdu,travel,0
میں پوسٹ آفس جا رہا ہوں,I am going to پوسٹ آفس,urdu,travel,0
کیا آپ پوسٹ آفس جائیں گے؟,Will you go to پوسٹ آفس?,urdu,travel,0
پوسٹ آفس کیسے جاؤں؟,How do I go to پوسٹ آفس?,urdu,travel,0
میں تھانہ جا رہا ہوں,I am going to تھانہ,urdu,travel,0
کیا آپ تھانہ جائیں گے؟,Will you go to تھانہ?,urdu,travel,0
تھانہ کیسے جاؤں؟,How do I go to تھانہ?,urdu,travel,0
میں کورٹ جا رہا ہوں,I am going to کورٹ,urdu,travel,0
کیا آپ کورٹ جائیں گے؟,Will you go to کورٹ?,urdu,travel,0
کورٹ کیسے جاؤں؟,How do I go to کورٹ?,urdu,travel,0
میں سینما جا رہا ہوں,I am going to سینما,urdu,travel,0
کیا آپ سینما جائیں گے؟,Will you go to سینما?,urdu,travel,0
سینما کیسے جاؤں؟,How do I go to سینما?,urdu,travel,0
میں ہوٹل جا رہا ہوں,I am going to ہوٹل,urdu,travel,0
کیا آپ ہوٹل جائیں گے؟,Will you go to ہوٹل?,urdu,travel,0
ہوٹل کیسے جاؤں؟,How do I go to ہوٹل?,urdu,travel,0
میں جم جا رہا ہوں,I am going to جم,urdu,travel,0
کیا آپ جم جائیں گے؟,Will you go to جم?,urdu,travel,0
جم کیسے جاؤں؟,How do I go to جم?,urdu,travel,0
میں سوئمنگ پول جا رہا ہوں,I am going to سوئمنگ پول,urdu,travel,0
کیا آپ سوئمنگ پول جائیں گے؟,Will you go to سوئمنگ پول?,urdu,travel,0
سوئمنگ پول کیسے جاؤں؟,How do I go to سوئمنگ پول?,urdu,travel,0
میں میوزیم جا رہا ہوں,I am going to میوزیم,urdu,travel,0
کیا آپ میوزیم جائیں گے؟,Will you go to میوزیم?,urdu,travel,0
میوزیم کیسے جاؤں؟,How do I go to میوزیم?,urdu,travel,0
میں زو جا رہا ہوں,I am going to زو,urdu,travel,0
کیا آپ زو جائیں گے؟,Will you go to زو?,urdu,travel,0
زو کیسے جاؤں؟,How do I go to زو?,urdu,travel,0
میں بیچ جا رہا ہوں,I am going to بیچ,urdu,travel,0
کیا آپ بیچ جائیں گے؟,Will you go to بیچ?,urdu,travel,0
بیچ کیسے جاؤں؟,How do I go to بیچ?,urdu,travel,0
میں پہاڑ جا رہا ہوں,I am going to پہاڑ,urdu,travel,0
کیا آپ پہاڑ جائیں گے؟,Will you go to پہاڑ?,urdu,travel,0
پہاڑ کیسے جاؤں؟,How do I go to پہاڑ?,urdu,travel,0
آج گرمی ہے,Today is گرمی,urdu,weather,0
کل گرمی تھی,Yesterday was گرمی,urdu,weather,0
آج ٹھنڈ ہے,Today is ٹھنڈ,urdu,weather,0
کل ٹھنڈ تھی,Yesterday was ٹھنڈ,urdu,weather,0
آج بارش ہے,Today is بارش,urdu,weather,0
کل بارش تھی,Yesterday was بارش,urdu,weather,0
آج خوشگوار ہے,Today is خوشگوار,urdu,weather,0
کل خوشگوار تھی,Yesterday was خوشگوار,urdu,weather,0
آج دھند ہے,Today is دھند,urdu,weather,0
کل دھند تھی,Yesterday was دھند,urdu,weather,0
آج طوفان ہے,Today is طوفان,urdu,weather,0
کل طوفان تھی,Yesterday was طوفان,urdu,weather,0
آج برفباری ہے,Today is برفباری,urdu,weather,0
کل برفباری تھی,Yesterday was برفباری,urdu,weather,0
آج آندھی ہے,Today is آندھی,urdu,weather,0
کل آندھی تھی,Yesterday was آندھی,urdu,weather,0
آج گرج ہے,Today is گرج,urdu,weather,0
کل گرج تھی,Yesterday was گرج,urdu,weather,0
آج چمک ہے,Today is چمک,urdu,weather,0
کل چمک تھی,Yesterday was چمک,urdu,weather,0
مجھے بریانی پسند ہے,I like بریانی,urdu,food,0
بریانی بنا لو,Make بریانی,urdu,food,0
بریانی کہاں ملے گی؟,Where will I get بریانی?,urdu,food,0
مجھے قورمہ پسند ہے,I like قورمہ,urdu,food,0
قورمہ بنا لو,Make قورمہ,urdu,food,0
قورمہ کہاں ملے گی؟,Where will I get قورمہ?,urdu,food,0
مجھے دال پسند ہے,I like دال,urdu,food,0
دال بنا لو,Make دال,urdu,food,0
دال کہاں ملے گی؟,Where will I get دال?,urdu,food,0
مجھے روٹی پسند ہے,I like روٹی,urdu,food,0
روٹی بنا لو,Make روٹی,urdu,food,0
روٹی کہاں ملے گی؟,Where will I get روٹی?,urdu,food,0
مجھے چاول پسند ہے,I like چاول,urdu,food,0
چاول بنا لو,Make چاول,urdu,food,0
چاول کہاں ملے گی؟,Where will I get چاول?,urdu,food,0
مجھے نہاری پسند ہے,I like نہاری,urdu,food,0
نہاری بنا لو,Make نہاری,urdu,food,0
نہاری کہاں ملے گی؟,Where will I get نہاری?,urdu,food,0
مجھے حلیم پسند ہے,I like حلیم,urdu,food,0
حلیم بنا لو,Make حلیم,urdu,food,0
حلیم کہاں ملے گی؟,Where will I get حلیم?,urdu,food,0
مجھے کباب پسند ہے,I like کباب,urdu,food,0
کباب بنا لو,Make کباب,urdu,food,0
کباب کہاں ملے گی؟,Where will I get کباب?,urdu,food,0
مجھے سموسے پسند ہے,I like سموسے,urdu,food,0
سموسے بنا لو,Make سموسے,urdu,food,0
سموسے کہاں ملے گی؟,Where will I get سموسے?,urdu,food,0
مجھے پکوڑے پسند ہے,I like پکوڑے,urdu,food,0
پکوڑے بنا لو,Make پکوڑے,urdu,food,0
پکوڑے کہاں ملے گی؟,Where will I get پکوڑے?,urdu,food,0
مجھے چائے پسند ہے,I like چائے,urdu,food,0
چائے بنا لو,Make چائے,urdu,food,0
چائے کہاں ملے گی؟,Where will I get چائے?,urdu,food,0
مجھے کافی پسند ہے,I like کافی,urdu,food,0
کافی بنا لو,Make کافی,urdu,food,0
کافی کہاں ملے گی؟,Where will I get کافی?,urdu,food,0
مجھے جوس پسند ہے,I like جوس,urdu,food,0
جوس بنا لو,Make جوس,urdu,food,0
جوس کہاں ملے گی؟,Where will I get جوس?,urdu,food,0
مجھے دودھ پسند ہے,I like دودھ,urdu,food,0
دودھ بنا لو,Make دودھ,urdu,food,0
دودھ کہاں ملے گی؟,Where will I get دودھ?,urdu,food,0
مجھے پھل پسند ہے,I like پھل,urdu,food,0
پھل بنا لو,Make پھل,urdu,food,0
پھل کہاں ملے گی؟,Where will I get پھل?,urdu,food,0
مجھے سبزیاں پسند ہے,I like سبزیاں,urdu,food,0
سبزیاں بنا لو,Make سبزیاں,urdu,food,0
سبزیاں کہاں ملے گی؟,Where will I get سبزیاں?,urdu,food,0
مجھے گوشت پسند ہے,I like گوشت,urdu,food,0
گوشت بنا لو,Make گوشت,urdu,food,0
گوشت کہاں ملے گی؟,Where will I get گوشت?,urdu,food,0
مجھے مرغی پسند ہے,I like مرغی,urdu,food,0
مرغی بنا لو,Make مرغی,urdu,food,0
مرغی کہاں ملے گی؟,Where will I get مرغی?,urdu,food,0
مجھے مچھلی پسند ہے,I like مچھلی,urdu,food,0
مچھلی بنا لو,Make مچھلی,urdu,food,0
مچھلی کہاں ملے گی؟,Where will I get مچھلی?,urdu,food,0
مجھے انڈے پسند ہے,I like انڈے,urdu,food,0
انڈے بنا لو,Make انڈے,urdu,food,0
انڈے کہاں ملے گی؟,Where will I get انڈے?,urdu,food,0
احمد کہاں ہے؟,Where is احمد?,urdu,question,0
احمد کب آئے گا؟,When will احمد come?,urdu,question,0
علی کہاں ہے؟,Where is علی?,urdu,question,0
علی کب آئے گا؟,When will علی come?,urdu,question,0
فاطمہ کہاں ہے؟,Where is فاطمہ?,urdu,question,0
فاطمہ کب آئے گا؟,When will فاطمہ come?,urdu,question,0
عائشہ کہاں ہے؟,Where is عائشہ?,urdu,question,0
عائشہ کب آئے گا؟,When will عائشہ come?,urdu,question,0
محمد کہاں ہے؟,Where is محمد?,urdu,question,0
محمد کب آئے گا؟,When will محمد come?,urdu,question,0
زینب کہاں ہے؟,Where is زینب?,urdu,question,0
زینب کب آئے گا؟,When will زینب come?,urdu,question,0
حسن کہاں ہے؟,Where is حسن?,urdu,question,0
حسن کب آئے گا؟,When will حسن come?,urdu,question,0
حسین کہاں ہے؟,Where is حسین?,urdu,question,0
حسین کب آئے گا؟,When will حسین come?,urdu,question,0
ماریہ کہاں ہے؟,Where is ماریہ?,urdu,question,0
ماریہ کب آئے گا؟,When will ماریہ come?,urdu,question,0
سارہ کہاں ہے؟,Where is سارہ?,urdu,question,0
سارہ کب آئے گا؟,When will سارہ come?,urdu,question,0
عمر کہاں ہے؟,Where is عمر?,urdu,question,0
عمر کب آئے گا؟,When will عمر come?,urdu,question,0
عثمان کہاں ہے؟,Where is عثمان?,urdu,question,0
عثمان کب آئے گا؟,When will عثمان come?,urdu,question,0
خدیجہ کہاں ہے؟,Where is خدیجہ?,urdu,question,0
خدیجہ کب آئے گا؟,When will خدیجہ come?,urdu,question,0
رقیہ کہاں ہے؟,Where is رقیہ?,urdu,question,0
رقیہ کب آئے گا؟,When will رقیہ come?,urdu,question,0
زید کہاں ہے؟,Where is زید?,urdu,question,0
زید کب آئے گا؟,When will زید come?,urdu,question,0
طلحہ کہاں ہے؟,Where is طلحہ?,urdu,question,0
طلحہ کب آئے گا؟,When will طلحہ come?,urdu,question,0
انس کہاں ہے؟,Where is انس?,urdu,question,0
انس کب آئے گا؟,When will انس come?,urdu,question,0
بلال کہاں ہے؟,Where is بلال?,urdu,question,0
بلال کب آئے گا؟,When will بلال come?,urdu,question,0
میں پڑھ رہا ہوں,I am پڑھ رہا ہوں,urdu,action,0
میں لکھ رہا ہوں,I am لکھ رہا ہوں,urdu,action,0
میں کھا رہا ہوں,I am کھا رہا ہوں,urdu,action,0
میں سو رہا ہوں,I am سو رہا ہوں,urdu,action,0
میں کام کر رہا ہوں,I am کام کر رہا ہوں,urdu,action,0
میں چل رہا ہوں,I am چل رہا ہوں,urdu,action,0
میں بھاگ رہا ہوں,I am بھاگ رہا ہوں,urdu,action,0
میں کھیل رہا ہوں,I am کھیل رہا ہوں,urdu,action,0
میں دیکھ رہا ہوں,I am دیکھ رہا ہوں,urdu,action,0
میں سن رہا ہوں,I am سن رہا ہوں,urdu,action,0
میں بول رہا ہوں,I am بول رہا ہوں,urdu,action,0
میں سوچ رہا ہوں,I am سوچ رہا ہوں,urdu,action,0
صبح کیا کریں گے؟,What will we do in صبح?,urdu,time,0
دوپہر کیا کریں گے؟,What will we do in دوپہر?,urdu,time,0
شام کیا کریں گے؟,What will we do in شام?,urdu,time,0
رات کیا کریں گے؟,What will we do in رات?,urdu,time,0
اب کیا کریں گے؟,What will we do in اب?,urdu,time,0
کل کیا کریں گے؟,What will we do in کل?,urdu,time,0
پرسوں کیا کریں گے؟,What will we do in پرسوں?,urdu,time,0
فوری کیا کریں گے؟,What will we do in فوری?,urdu,time,0
بعد میں کیا کریں گے؟,What will we do in بعد میں?,urdu,time,0
